confirm_id,design_id,condition,baseline_replicate,replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,final_population_hash
D0,A_high_2,selective,D0_r07,7,m029_contiguous_substring,8d4ddfbfac0226f6a695d6b22ee21fbf533251852e95baca71b09f7710bfb22c,contiguous_substring,intermediate,64,0.02053237518519803,0.3176800486041587,0,8.427907986111114,89b44ee958aef4f27b6b0679acb665db6756abcacc8ac605540690a8128c9cc0
D0,A_high_2,selective,D0_r07,7,m030_contiguous_substring,6ff19e1927dcafbb441ab0b4a0a61b92d1295d402f3277307a3f5b9d7850b98a,contiguous_substring,intermediate,64,0.0195522793821388,0.3176800486041587,0,8.501315104166668,750b80eaae02744e47ad2b5c2fe4554167217d8e00a7f0fe4201a8e4856b1772
D0,A_high_2,selective,D0_r07,7,m031_contiguous_substring,c824c782df91faee7515c9d811fab43ed5426465074d2e812a5277507d28ae96,contiguous_substring,intermediate,256,0.08930867648764847,0.3176800486041587,0,9.41853298611111,b0a1b18babfd34f8c029f953edfba069928fefb60509f6ec8c9ad2bd1baf3e35
D0,A_high_2,selective,D0_r07,7,m032_contiguous_substring,ef835eb9c371f618c6958654a7d25a1df1d12c09a53ecf66f9209fb882a8542d,contiguous_substring,intermediate,256,0.08878901419805399,0.3176800486041587,0,9.39894097222222,9b48bf4368114b5816d80accd001e4d98890a7f3357d1ebc7301a1878183e6bf
D0,A_high_2,selective,D0_r07,7,m033_identity,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,identity,identity,1024,0.3176800486041587,0.3176800486041587,0,12.669956597222223,9b07aa7533e31b1a6a4b6ad9e36ec01dac1204e37d3cc6aa1c43c2cb3ed376e3
D0,A_high_2,selective,D0_r07,7,actual,actual,unintervened,actual,1024,0.3176800486041587,0.3176800486041587,1,12.680134548611113,d8d6dc3a32b5f5250c9d554dd400f8b16eb458191eaac60b731c88bb8f67707f
D0,A_high_2,selective,D0_r07,7,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,0.0,0.3176800486041587,1,8.17949652777778,ade27766f6b68027652d442ff46763cdf72ff8a9d1deff4456da48ad7aecf112
D0,A_high_2,selective,D0_r07,7,m001_balanced_random_group,f9a61013dcfd5168cfac382b0103ebc61175babf90ead3fb241727582f7ebff8,balanced_random_group,intermediate,2,0.00043992715230280156,0.3176800486041587,1,8.202191840277777,04c8af9c6039f22340a0388761d2493ca827195f579ad068c7b2905b9deee673
D0,A_high_2,selective,D0_r07,7,m002_affinity_rank_group,3f53151fb2f814971fd6c0128c5c0b7afe1b5cb5257e46a1db18b8ebc9946d94,affinity_rank_group,intermediate,2,0.000602039816150039,0.3176800486041587,1,8.190182291666666,f6d1548d41a1f84bd2a27aaa01fbd7ce7e9deadf2dfdda07376affa1f2abb348
D0,A_high_2,selective,D0_r07,7,m003_balanced_random_group,c3045d2c1c1e20ffe9a4bb2a2e96a1861dba82bdee39680a0c34776015233f77,balanced_random_group,intermediate,4,0.000991090476996204,0.3176800486041587,1,8.182578125,83261152360ceb11cc95aeffda3bb79dc9c7e749f9baa3d26f76f6410e029d10
