condition,inherit_prob,replicate,baseline_replicate,baseline_run_seed,information_observation_seed,permutation_root_seed,permutation_stream_index,n_information_permutations,state_path,rng_state_path,state_hash,trajectory_hash,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
control,0.2,10,control_p0.2_r10,2431912562,12689178,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_10.npz,results/phase4_core/states/control/p0.2/rep_10.rng.json,76f19de71369f1b8b2d391ab0a848fcefafcaedc89e0cdbacc9d3db6e2bf9dd6,da3f25170c553a0eb96043ad9e2f6c0ce2fd158ed74461570217f880a0d6acc9,27.06953125,0.06851549439255841,0.07155272944312992,0.28277634858845296,0.2854723529823099,0.002736040333531428,-0.002696004393856921
control,0.2,11,control_p0.2_r11,486254214,3638781612,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_11.npz,results/phase4_core/states/control/p0.2/rep_11.rng.json,a22272cbde2c36d7ab7ee3586d072d4caab8df8b3ade32c1bf15bbfac69355a3,05b49e739cd134942ee675a251c1d0b610ddfdd489e7400c98bfff21c9b53475,27.38359375,0.06475117870422945,0.07177028285297576,0.2791198312210437,0.2852825299682845,0.0026700436169715003,-0.006162698747240791
control,0.2,12,control_p0.2_r12,3483109614,89641957,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_12.npz,results/phase4_core/states/control/p0.2/rep_12.rng.json,ff70a3435645f11e96f80a86b403d484ede3da24163c4e4cd047e6506c174cf2,bdf1b3c2b3617b731b72ff5bee260793431aab63b59f88af06da2dc50f8b5234,26.23359375,0.06220100425420125,0.06760926118982846,0.2836779300971178,0.28528486448422996,0.0027571665529817608,-0.00160693438711218
control,0.2,13,control_p0.2_r13,1977777393,2078931197,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_13.npz,results/phase4_core/states/control/p0.2/rep_13.rng.json,c7bff498e2a6a639a0ff67a94f846ca5b72949431c0d1a50bdb1143377cd57cc,72c58903428807541e64b66afef813dd0375fd571cb109835f5536a8f84246e1,27.90546875,0.0647507970245101,0.07027435858374402,0.28448221665317336,0.28557820490375496,0.002915751316630447,-0.0010959882505816032
control,0.2,14,control_p0.2_r14,1177471657,1854934558,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_14.npz,results/phase4_core/states/control/p0.2/rep_14.rng.json,22cffbea81607cef43b02c519f8845848b3612a4bd3f84e24b8bfcf542db0fb3,9eb1b1c61194000ce11ff452377c1f6ad5f759c98804c8104523726219d19a62,26.74609375,0.06789807601589425,0.07122011882536174,0.28540460182562055,0.28549573256149896,0.0028759014139688264,-9.113073587840859e-05
control,0.2,15,control_p0.2_r15,153552793,3577028001,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_15.npz,results/phase4_core/states/control/p0.2/rep_15.rng.json,c3665c433f6557841b25bf3b6b299c293bf95790ce49dae22c747f15de2da386,15118ef141ca51e78b7068d34b035e03a145047571043b493eb820b75bb82b54,27.66484375,0.0638834082237366,0.06587566145789489,0.28567834922140245,0.2855554850014686,0.0026496286319357782,0.00012286421993384922
control,0.2,16,control_p0.2_r16,499040307,305495543,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_16.npz,results/phase4_core/states/control/p0.2/rep_16.rng.json,bd17523d08b51dbf70fb50c5db5cf55227736269f50dc71884120163d0ad3fff,46fe878411e32dfff5e6643d008000ff21f0f0ca58a2e18b9b0a420b31cd0218,27.2390625,0.06429462782502882,0.06572996178610091,0.2876386511016708,0.28555071962893125,0.002566539037335691,0.002087931472739557
control,0.2,17,control_p0.2_r17,4247298913,2969716805,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_17.npz,results/phase4_core/states/control/p0.2/rep_17.rng.json,2f823b158e6b0a51481599e85f5b1b4a79fa155a749e8b20f6af5298c123a15e,3dc59535bb733fd3c4a41eb2e05c9f863841f80d0f5d97f3e1c9dc02a01a5080,27.11640625,0.06000893707872201,0.06457369773261706,0.2835042204094354,0.28567787313033305,0.0027170151703856038,-0.0021736527208976453
control,0.2,18,control_p0.2_r18,1986527594,2332980100,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_18.npz,results/phase4_core/states/control/p0.2/rep_18.rng.json,20e0239cb02118c68b98c23288f71deff88e6a9eae95188ed179b6b154f80fd4,1a676d45fcac9f615b60796db566258f9a0418ca75f00fa2eff22feb90bbac5a,26.915625,0.06846560035580519,0.06720740268581664,0.28554152010793743,0.28570397604250464,0.0028646955838747914,-0.0001624559345672072
control,0.2,19,control_p0.2_r19,1113679740,581975374,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_19.npz,results/phase4_core/states/control/p0.2/rep_19.rng.json,ee6efe259499a8361490b865482e5455f5af0f9831d9e9f243a9dd1944f90f68,1dd83c8f82b1ae714c09c2320c0772a2c77f28567e309775fddaf9c46da15314,26.95,0.06557172469069804,0.06864157315440372,0.2847763196827141,0.28522292517268544,0.003078981145901715,-0.0004466054899713301
control,0.3,0,control_p0.3_r00,640936160,2695558194,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_00.npz,results/phase4_core/states/control/p0.3/rep_00.rng.json,1a3bc6688cceaf23595704fb1cc68cc7f1bc7e1575168dce1b8e384087b291d9,c54b0117bdaec94969c5a14789adf0ff33a1308af71d0259e7921b8bc049d5af,26.3375,0.0673091352377451,0.07472379249630837,0.28554470875205246,0.2850672268274559,0.0028160864468072437,0.0004774819245965678
control,0.3,1,control_p0.3_r01,3307905777,208580522,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_01.npz,results/phase4_core/states/control/p0.3/rep_01.rng.json,0e0f0d2e151b28411c39e9526bc4282e42e6df1a93a8774572ad49b27b71b8e4,4e41e99857fd93e0bb57a6b0d2c02763cc47ef715cd3c8dda098b779149fe902,27.50546875,0.0678961938239739,0.07822169571207686,0.2880054231947624,0.2847685797329452,0.002958179739732447,0.003236843461817185
control,0.3,2,control_p0.3_r02,472409451,102721620,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_02.npz,results/phase4_core/states/control/p0.3/rep_02.rng.json,c72a02b94f48325455decd88805583bc2a66eead9ffba179c3b7ee583224e2de,d81e737271d15fc059f082d9157de714cbe9efaef79db34839c4e8a5410c750f,28.0140625,0.06895763077557651,0.08155331757451288,0.28693560727212986,0.28454459323051745,0.0028712742959180974,0.002391014041612405
control,0.3,3,control_p0.3_r03,3728011851,2909093357,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_03.npz,results/phase4_core/states/control/p0.3/rep_03.rng.json,335c18e65bee53412de3dd32ab7630b9ca94fce64dc249ea122dce34107b2770,7ed36b4985da4de0bccd8100c526cebf0a546ce763111653cc34baa50dbae7ec,27.1484375,0.06662240873656117,0.07557503350142397,0.28843502457060255,0.28517587861097177,0.0025703520779545527,0.0032591459596307826
control,0.3,4,control_p0.3_r04,3286889116,1341867767,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_04.npz,results/phase4_core/states/control/p0.3/rep_04.rng.json,015c374a2d388a86f1076bfecc99f4e7d557b82b2c6836aaf718e34508fb220a,bd2b2421a238ee127d21dfae2b2fd0e7cdbb18bc4c0f2a6095a7199bb1639d76,27.23515625,0.0650542901162227,0.07400169234057088,0.2866778375093828,0.28488707127723456,0.002828856052108306,0.0017907662321482443
