condition,inherit_prob,replicate,baseline_replicate,baseline_run_seed,information_observation_seed,permutation_root_seed,permutation_stream_index,n_information_permutations,state_path,rng_state_path,state_hash,trajectory_hash,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
control,0.3,15,control_p0.3_r15,637449332,438980314,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_15.npz,results/phase4_core/states/control/p0.3/rep_15.rng.json,f47e39d8d0c011696c4c99fa2ef1b7cdc1d34a6871f06b7238a0413d4185f6c7,bcfb418e246ac09375e9326060646fd07ff186ab882b7ddd70d942a93af06ed2,27.06953125,0.06555379130303515,0.07542936227098412,0.2836514175960704,0.2853090444541073,0.0029251402836414685,-0.0016576268580369424
control,0.3,16,control_p0.3_r16,1798678375,2124831127,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_16.npz,results/phase4_core/states/control/p0.3/rep_16.rng.json,19e28bf7ed14e2f52b0ceb84fd0db1148e2906cf7dd1efa9ab835ea634a5ab60,9be57497da0f631b8345a0d26cdc8db6f409e713ddb545ef82613c1210f9f125,27.159375,0.06576758446369077,0.07453666849466764,0.28441314519672467,0.2849410055364131,0.002651131507326233,-0.0005278603396884352
control,0.3,17,control_p0.3_r17,2238462622,2715183110,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_17.npz,results/phase4_core/states/control/p0.3/rep_17.rng.json,311fbb227751a4ae03a613f274eca48c521df6c9d7cd3abd3e11d0012d93d4ac,56117aa3be21b27826d231cdd314a6a5515ff0519e677e226bf558567d48a0e7,27.53203125,0.06511960826610563,0.07786056716402932,0.2815364840754112,0.28476969648259337,0.00264618848174287,-0.003233212407182162
control,0.3,18,control_p0.3_r18,3935396350,1181869195,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_18.npz,results/phase4_core/states/control/p0.3/rep_18.rng.json,9a8ba15d103143cffc92e0d7ca61cc719e95c265a2def0546ee2d9e86b8c2be9,b2da3a3c28186fc761935211a427d4d3cc67fe5e386da8b38010a5dd35e449e0,27.3890625,0.0651210880037201,0.07325025759334966,0.28559435509292486,0.28504583360962576,0.002819019974464536,0.0005485214832990915
control,0.3,19,control_p0.3_r19,1955962194,181331491,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_19.npz,results/phase4_core/states/control/p0.3/rep_19.rng.json,4b34374e6f7cd26459f0a84487dc4579793fdda7e1a8818387389871e05f3bd8,46e97e2d31de3a8a227e9e302576a8031b321874138f7b21656e27900d61ed5e,26.34375,0.06770535202070474,0.0757181621318243,0.28606591423791905,0.28481406345383536,0.002865430921570956,0.0012518507840836857
control,0.4,0,control_p0.4_r00,3017390715,198033949,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_00.npz,results/phase4_core/states/control/p0.4/rep_00.rng.json,a4810daf8b82cab7a8c16d83bd464dbcf812eb375fb4f5cd39bd979f82a064be,6ae44e15bae8d690ae78279e22a15b6c4be66ded1c5244cf811aff5b3f31a0b5,26.8125,0.0744162111126351,0.08662798008676262,0.2866444420180509,0.2841591542188941,0.0028622938394605416,0.002485287799156799
control,0.4,1,control_p0.4_r01,1622385866,382344920,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_01.npz,results/phase4_core/states/control/p0.4/rep_01.rng.json,4fb2a50a7db4a117b7e4a09fbff79fc1217ba71da5a1e9ee263924ff94838db1,c9a7de33a8e305f2ba65376ede3e6edb79ff51cee46820fe6206daddd92fdc33,26.81875,0.07238247135453704,0.07872658317132206,0.28843963785557136,0.28455137376656703,0.0026437651616181427,0.003888264089004334
control,0.4,2,control_p0.4_r02,3119307372,3712056061,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_02.npz,results/phase4_core/states/control/p0.4/rep_02.rng.json,162a09bae07ddda8c5219e2613265aeb7e78e1a32df0dcd8a5c9efbfd4620449,3f5daf3dc568968f84cb466bc510e0ca638d67d4dd88ce993d63db66f4e48ef5,27.31640625,0.06706301365822377,0.07846282303061337,0.28700911666266704,0.2845550202685028,0.0027192684125636555,0.002454096394164218
control,0.4,3,control_p0.4_r03,899692153,934024532,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_03.npz,results/phase4_core/states/control/p0.4/rep_03.rng.json,57324b89b43530970883be09e3f9637a32204e386c714b8e022f00353b050d9d,5b120509e357be6548027b0ce0df95d89eee3a7ce87e3694692e2ff0ad6271a8,26.98046875,0.06780574975517772,0.08721268092303676,0.28240774330984586,0.2841416934266442,0.002655920103614949,-0.0017339501167983329
control,0.4,4,control_p0.4_r04,1059363060,4125238479,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_04.npz,results/phase4_core/states/control/p0.4/rep_04.rng.json,31a7cda362b8ea5f2606ac0d6a9088a1cbbc393f19c6e37510e6e9dfb1946471,30dd507fd5e0be11dff53ad2abd42b86a67acc24339234e572dceed462808321,27.08046875,0.07232461303061286,0.09009650442011902,0.28784704735746247,0.2840364509249557,0.0025692411993021905,0.003810596432506752
control,0.4,5,control_p0.4_r05,3871365774,1666170271,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_05.npz,results/phase4_core/states/control/p0.4/rep_05.rng.json,341876856bf972d177ea92abda00982e6b8af84311b9373a272c2d4a28df8cac,f3913071087a7a19e334e3d5f8e4af673aabb9609b6d8bcdd627c3a3aa84c4de,28.0046875,0.07046498915020552,0.08937656170355789,0.2839841272290866,0.2835021224214981,0.0026990352492377127,0.0004820048075885319
control,0.4,6,control_p0.4_r06,783897833,4236525983,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_06.npz,results/phase4_core/states/control/p0.4/rep_06.rng.json,41b25f4d2f29ccd1e6346c148a22972dd1d33060568d81f3e51b61abf6602ca7,bfb65b2436d10a1e0b1b13dfe66783c86c7d74eb0b9d3ae402c9c0aa53bff51a,26.84375,0.07305674137515412,0.0885114329334494,0.28631599564785226,0.2832897932936478,0.002777471709103619,0.003026202354204477
control,0.4,7,control_p0.4_r07,1554955735,1344687990,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_07.npz,results/phase4_core/states/control/p0.4/rep_07.rng.json,d20f9dabd34d81d4f39e1f678604d57e3ec272fbc119d76e3539a5a62971f3a3,30d53ecf45d372718f30e2cfe00a4d534b4c280f84497d4852625c5b49c1f9dd,27.01015625,0.06873142750165465,0.08221690905695718,0.28600849340287543,0.2839790747138735,0.0028741491333942556,0.002029418689001916
control,0.4,8,control_p0.4_r08,1754908860,1781044116,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_08.npz,results/phase4_core/states/control/p0.4/rep_08.rng.json,aaceb7e507420eb54c8de71ba9f57e6f91eb54c188d8dc4eea0c99314786f606,734a3d2773acd13ff23a96ac04fdf957df7e6e4e73050623ed66f4ca7e1fb46f,27.69921875,0.06782619891088373,0.07912525970881507,0.2873414396885843,0.28478435843690053,0.002823438252720852,0.002557081251683746
control,0.4,9,control_p0.4_r09,3454482529,4136244177,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_09.npz,results/phase4_core/states/control/p0.4/rep_09.rng.json,27a63cf490975f335557f0009f3c8aa9e665b02f3cbaedc01ef4a397b633bfa5,fd9d1a57214283784c1639500a9a489cd5fd12fe4d55d6cb0bcf2582f56a2408,26.50859375,0.07413109457971134,0.09213430496804445,0.28645303597274635,0.283619095130372,0.0028374567645109714,0.0028339408423743717
control,0.4,10,control_p0.4_r10,735484897,1222119289,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_10.npz,results/phase4_core/states/control/p0.4/rep_10.rng.json,29805dea249d05ae75e498c1032907c9e9ee80b3db1b67d503abde4f9a8ed73c,75a07a5b2414c5d7e06622ae866879acdbc67d460e7c427e6ccdabed824a764e,27.13515625,0.06978403071217966,0.08489100994008016,0.28556792931406044,0.2839588542201545,0.002989219869044295,0.001609075093905954
control,0.4,11,control_p0.4_r11,136632942,912267347,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_11.npz,results/phase4_core/states/control/p0.4/rep_11.rng.json,3489079e87614612f0b1253b89270bff39925891f3bed1de2b8d228400dd2edb,dd6484e728dbef206a0dc9907e4089c09576e15cd53075903cb63c31174c77c6,26.93046875,0.07028391884608257,0.08397709354066765,0.28054411791197165,0.28409263819910174,0.00262250054049255,-0.003548520287130097
control,0.4,12,control_p0.4_r12,1992858066,2656806842,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_12.npz,results/phase4_core/states/control/p0.4/rep_12.rng.json,84662f70e70c70d7a1b1038e71a42c0f81a8cb45d26dc24fc111575d92c12f82,2ce27d76ccf3a99e8263ef50336a654bfb434bb665dd092ae28c817f38606d4d,26.8796875,0.07183594525559954,0.08552161678398312,0.2855298858217798,0.2838513546776414,0.0027143201754838927,0.0016785311441384065
control,0.4,13,control_p0.4_r13,1544419436,3162380181,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_13.npz,results/phase4_core/states/control/p0.4/rep_13.rng.json,899273e29924bc0af05cd9b6028d887205c07e842034160a1a60ede90da1a076,afed5789833a6e4ca02603b2f54defdc3da810aa48afc292e22804902e160371,26.83515625,0.06801767778652117,0.07684439874182987,0.28868587850386895,0.2847793586712069,0.0028943485214829286,0.003906519832662048
control,0.4,14,control_p0.4_r14,851961329,3995975030,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_14.npz,results/phase4_core/states/control/p0.4/rep_14.rng.json,edcc996878ca50c9655f534980042cfa3c87d7d6a54d05aa274c7061bae93e8f,0d68ab868369060c3ed11b552236828411da74531098f74af8f13ef8582a6d44,27.12890625,0.07027903479855567,0.08827055243088155,0.28407538345631755,0.28430203563850603,0.002478207351639203,-0.00022665218218848038
control,0.4,15,control_p0.4_r15,575095841,3423971266,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_15.npz,results/phase4_core/states/control/p0.4/rep_15.rng.json,6b0e3239595209498b0da9f975db954bd38e8d98881c6ba5ffa9a905ddfc220a,ff36638bff4d58d6729ee596f0d7ce7ebf2bb10157aceff0fcd5b4fd59332878,26.95703125,0.06942122762804633,0.09081268473968471,0.2820490969702867,0.2839987324552957,0.0025881169342226494,-0.001949635485009038
control,0.4,16,control_p0.4_r16,1083467681,2430092324,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_16.npz,results/phase4_core/states/control/p0.4/rep_16.rng.json,9ec201aea5731ff01554c8c80f8e53bc50b22445e4f7073147f6bda2a62e8844,b9b5a91bae47010e6abca1ebf200fbc4e4fd3355934b0468f51f808e8ea31a02,27.10625,0.07328481624305111,0.0942400785595271,0.27965838325093967,0.28349780658444595,0.0027492299562079103,-0.0038394233335062866
control,0.4,17,control_p0.4_r17,3614494578,3530098213,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_17.npz,results/phase4_core/states/control/p0.4/rep_17.rng.json,3d0bca8a0f4ab6f7ee1ca36a1d8073f71748b88c614ed45838fd1d740314a7fa,2b9f9b97881d83c68ce9a6af3bd352ed7d68ad3afa351233acf10497753aca2a,26.84609375,0.07042584858809864,0.0893938390018944,0.28351146995696025,0.28413785454825075,0.002471119967158345,-0.0006263845912904964
control,0.4,18,control_p0.4_r18,361922507,2269555840,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_18.npz,results/phase4_core/states/control/p0.4/rep_18.rng.json,f1d3eb23443a53caa225712138f4ed49e4f9a3ae3cbbd3a7a0d458a0a27d38b3,5e9f3f3bdcddba636347be6ae38f4e1913a10accf488b6abdfa0936f723fce9d,27.8,0.07170478238053549,0.08980892066183242,0.28805237812343376,0.2839439364538224,0.003042795865107412,0.004108441669611385
control,0.4,19,control_p0.4_r19,490105579,3365191978,2026073104,0,200,results/phase4_core/states/control/p0.4/rep_19.npz,results/phase4_core/states/control/p0.4/rep_19.rng.json,7461fb452a8cf4e77ade6bf9c9ead7a6da7298b9ec5899702779095e56484605,fdc2fd255bfb29fbb5f63e1b37b8ab656844152d9b1f159ba2cca47809b25a0a,26.8421875,0.06675993279769032,0.08686973423819477,0.28305341368119347,0.2841861750080221,0.003009971679971247,-0.0011327613268286574
control,0.5,0,control_p0.5_r00,602056551,1315912640,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_00.npz,results/phase4_core/states/control/p0.5/rep_00.rng.json,5d78bf3b32909f1113ab89fced42e8279c13cf5980764a46ced4c5313268afd9,44fda77cb22c33fc58566b3ad470f6efeb230360fbfe348321a059201a27508f,27.24453125,0.07504689318267375,0.10995772742362073,0.28142567216596864,0.28312616388755524,0.0029554693517250567,-0.0017004917215865945
control,0.5,1,control_p0.5_r01,2793279644,3808656977,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_01.npz,results/phase4_core/states/control/p0.5/rep_01.rng.json,ca65c5454340055cb538f85929e75f33b13b52fbe3e68853c2175aed9e491e21,1860c6252b1c6bd9266e380b711ec24ba961c2b3ec04fe9fdd92dca246cb40d2,27.44140625,0.0756515494391356,0.11299153550811492,0.28087535682644815,0.2816812879585072,0.002692285856631869,-0.0008059311320590679
control,0.5,2,control_p0.5_r02,4138925165,1205672812,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_02.npz,results/phase4_core/states/control/p0.5/rep_02.rng.json,5f2b0ef751ed002aaccecffe530fc1d7d42c40562ce99591d69c91546280520a,1502fe17291b442379c4a282749d119c67e3ecaf646ec806cf2f12ccdf50d3ed,27.42109375,0.07502524453441406,0.09737811112844492,0.28253718562254027,0.28322543596489347,0.0027818567544073297,-0.0006882503423532027
control,0.5,3,control_p0.5_r03,4108894691,528941139,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_03.npz,results/phase4_core/states/control/p0.5/rep_03.rng.json,47d904844c84c41b9421f2cd36ed6fd82ad1a0572d7aa20b71519d07738be4db,b8504c54295289747c00cbb15e7eb5462379c7cebfc478aa168d37b461a8ebf0,27.303125,0.07380240696113059,0.09852476408365912,0.28138597739697324,0.282915534526997,0.0027953692795563726,-0.0015295571300237842
control,0.5,4,control_p0.5_r04,2390998545,505647603,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_04.npz,results/phase4_core/states/control/p0.5/rep_04.rng.json,86e2a559c7a49f8764e1c6abea039abf6eb8c781c1e1103b720e8f53862fb120,b6d8c4adb0cfd812562b4d13d94e186d227ed5cb53ca6423b55eb775f04b493c,27.13671875,0.07603033114205324,0.11144620819860755,0.28085597760455405,0.28152704712288734,0.0026435890190928285,-0.0006710695183332893
control,0.5,5,control_p0.5_r05,278328939,2244378004,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_05.npz,results/phase4_core/states/control/p0.5/rep_05.rng.json,d6563905a3f4a2d9191c29104fb553a7dbfcecb02071bfc86efb5dc7b38ff038,58af5e4fbc243a2f0e601f084eac504b6cf5fdd96b183a663f794c24250487c1,27.82109375,0.07400791615357526,0.10556207167429855,0.28375361753146555,0.28258192620971906,0.002693571467526334,0.001171691321746493
control,0.5,6,control_p0.5_r06,2482789736,4157847903,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_06.npz,results/phase4_core/states/control/p0.5/rep_06.rng.json,91cd3bf4d27db34a0d48fed8f944e907f02ae63bc2568234f57f649e5ef0a741,5c598ad0367a537f1cbc802d3d26e6211d7c62d8172dcdb6543a42c4f3160a55,27.02421875,0.07723668616215028,0.1101339366896825,0.2843465850466541,0.2818609406028254,0.003041689226789765,0.002485644443828705
control,0.5,7,control_p0.5_r07,4063082322,3336460296,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_07.npz,results/phase4_core/states/control/p0.5/rep_07.rng.json,395d8bf9807b71673f8605eb8889df7be9037b8d3d984ef3fdf8e0784fe0490e,b5ce498125857c99ce9c8a6e89ffe8aab90b80cdc07f3d3f7a696a0dadbcf422,27.7671875,0.07419648576594455,0.10576653076701499,0.27873643575319174,0.28237053897964876,0.0029741821226385145,-0.0036341032264570194
control,0.5,8,control_p0.5_r08,1893769741,4047745923,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_08.npz,results/phase4_core/states/control/p0.5/rep_08.rng.json,0c268c94f0a65f028246ee8ded71fdca284d5ed1e95e55dccefd371e280b69db,994ca724db06be0713c0318ad345b3dada2981c5f3cefb09232904906f7504bf,26.71796875,0.07522326577026052,0.10739272481880205,0.2807700814002323,0.28162140714544104,0.002724189970760005,-0.0008513257452087419
control,0.5,9,control_p0.5_r09,492260989,3526692702,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_09.npz,results/phase4_core/states/control/p0.5/rep_09.rng.json,2fd0e21ab9489465170a9f5ba8f69a9b4a5d3e703c13bd89480851a3a8b2265c,136ba125b4bc1b83f171cefbc4d5211818a491d1d64f7c36ab6148e94cef12e3,27.628125,0.07361654591613859,0.10287844971156862,0.28749930988154143,0.2821498324534994,0.002845343162706884,0.005349477428042038
control,0.5,10,control_p0.5_r10,651940859,2976774644,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_10.npz,results/phase4_core/states/control/p0.5/rep_10.rng.json,dab986c7698a71bbf19f1550aa70d99c42cf83cfb3e171388f74551ee6bde1d0,712bbea3f17afdf1c4f7a476eaae31a92a03bfbb19bf725959106605242dc847,26.9625,0.07304139334733988,0.10450021880144264,0.2767569986631283,0.282503113352743,0.00272919979434524,-0.0057461146896146675
control,0.5,11,control_p0.5_r11,2485339510,1129512662,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_11.npz,results/phase4_core/states/control/p0.5/rep_11.rng.json,1dc063d3fa163c9e95de518142a8a29477cff757ed5cfd28e3a658c80cceaa8a,f12ac3a854eb6627c9b63a1dda825619d6f79c8097612be7e16d26cb1a36c503,26.8203125,0.07433319781852091,0.10038951578145033,0.28354351799318794,0.2827616276903515,0.002761223792695958,0.0007818903028364299
control,0.5,12,control_p0.5_r12,3275316935,2106015775,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_12.npz,results/phase4_core/states/control/p0.5/rep_12.rng.json,ed687b3340ed61cd0e3192a3bf5d6ced171d1bc43e845df86bc5041c50fa3eb8,b27620ab0617c21b58c41f014291715ec7318fbc34470035450aee1267454f1a,27.271875,0.0765544371543106,0.10109392459352456,0.2809408565459767,0.28258317190015236,0.0026693378142043393,-0.0016423153541756386
control,0.5,13,control_p0.5_r13,2847548159,2160581306,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_13.npz,results/phase4_core/states/control/p0.5/rep_13.rng.json,40401716b8d4d27d9783d67f1a1d9c6a293346d206001e8fff3dd5b6621e4c3a,7b846320653e50a521a3e4b338f4ca112f63c0c136c9eb5a99e91e030812aa6b,27.603125,0.07750080046728121,0.13198049953150826,0.27649065112172855,0.2808008883676751,0.002790513266616896,-0.0043102372459465355
control,0.5,14,control_p0.5_r14,915076030,2993990846,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_14.npz,results/phase4_core/states/control/p0.5/rep_14.rng.json,0cdba39a9155cc1989f37f67481d3db3b74222eb2a7422d17f722674f9189a8d,16afc28e8d238138b1ccd85394d9b20a36ef9c317567e74b0fe1b25a6e629941,27.09296875,0.07548151017924358,0.10794197867855826,0.2806093365215695,0.28210999239470186,0.0028492173006822914,-0.0015006558731323616
control,0.5,15,control_p0.5_r15,3061202138,1516940021,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_15.npz,results/phase4_core/states/control/p0.5/rep_15.rng.json,0157aa36b0da633827905691d3c2ea930c7e0ec02e58c7106885fd4fa544f446,bc25f5770ea1398201aed80a8b34ade227e47b69e99c9799bd24df8bf3f63f83,26.90859375,0.0715734962299461,0.10344067791434394,0.2807884668653291,0.2824478550414492,0.002770002134705801,-0.0016593881761201024
control,0.5,16,control_p0.5_r16,1731401483,3998167140,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_16.npz,results/phase4_core/states/control/p0.5/rep_16.rng.json,e8e3471cf6551b40ac09e2f610fe973a0bb6769a4ea3db32b62982fe76c6394e,7dc0d809d55f842d6141c17884e2af9401debab17d63d796f4db108c4a709cf7,27.3359375,0.07251122600071128,0.10230359121098374,0.2855923487030935,0.28258182909535406,0.0027303632704713736,0.003010519607739459
control,0.5,17,control_p0.5_r17,3010237040,1262505198,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_17.npz,results/phase4_core/states/control/p0.5/rep_17.rng.json,125c37753abfa74f39dd516fa78f2af4088c64263bb9410b528d63406631a8dc,a364d9e98aa2252131e030ebc211c9a6ab0383c285aa5da2afb783837bf4663f,26.88125,0.07233569664989854,0.10266524454793717,0.2804347841993785,0.2824005030829847,0.002763886517141092,-0.0019657188836061934
control,0.5,18,control_p0.5_r18,216135605,2991692243,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_18.npz,results/phase4_core/states/control/p0.5/rep_18.rng.json,a772f29e369bbd3f0dbaac13e042b55d690106ca7aeea7a9257966585c02e65b,d2fe17aaf494ea9a8fdd75eefc9002b4075ec79aedcae8a64e465c9d740dc6fd,26.7203125,0.07451804580985989,0.10700573379510206,0.27741310475875447,0.2823082138970936,0.002909780384117502,-0.0048951091383391265
control,0.5,19,control_p0.5_r19,3446865642,4004536395,2026073104,0,200,results/phase4_core/states/control/p0.5/rep_19.npz,results/phase4_core/states/control/p0.5/rep_19.rng.json,65e9745f4f5da4ce54a7e9f4d765aa9a85d846cdfb271531b28289b71c9af684,883709b16d201a4ca66ede35c9c152dfeba440ab7896785e38d4dacc5237428c,27.48828125,0.07760130914787805,0.11287961220011154,0.27962418454029847,0.2818954121287549,0.002732876716933595,-0.002271227588456437
control,0.6,0,control_p0.6_r00,3618291077,858363473,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_00.npz,results/phase4_core/states/control/p0.6/rep_00.rng.json,89d1d4e04ef19f0de05bb57f4a2b02a7a641465f72f922581791a2e14ed969fa,93f8d1b4eb209921830928e87aa1afcea3623ec04deafbb8b280dbd9f19554ad,26.71796875,0.08293071985404413,0.14603901133797312,0.28283843830272276,0.2790569220051376,0.0027521966777504024,0.0037815162975851635
control,0.6,1,control_p0.6_r01,1678993919,1369837879,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_01.npz,results/phase4_core/states/control/p0.6/rep_01.rng.json,5eac205d96caf57dec85a1c39be3163ad03d72d25ceec9169649371599272890,ecc53f51895fcca54a51c67c8c1b6f579e99e9869aa262595a079b96fa41a445,26.86875,0.08333313008595404,0.1286917829705248,0.27761288354210323,0.2801465146676829,0.0025525473305179035,-0.002533631125579694
control,0.6,2,control_p0.6_r02,3941646501,1223826282,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_02.npz,results/phase4_core/states/control/p0.6/rep_02.rng.json,2b1dd86e291219ef33299ab3d18d65f3ce339bbc278a45b64906a2a592b7058c,368e110adfe528a791334af754795084132f5f0f8f4fa543535ca9118e313bc6,27.15,0.08130404073187689,0.13787711912696182,0.27886523974099664,0.27989512085024226,0.0029045423261871138,-0.0010298811092456228
control,0.6,3,control_p0.6_r03,1898844321,3349152012,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_03.npz,results/phase4_core/states/control/p0.6/rep_03.rng.json,c7550cf21c65f3051910f6451c1250ab0e5d1b188a0505310ec431e20aeb34c8,39128f36ccdc8a35e6ba1d1728e02183ca8766c84fe759eb1077ad2c52719559,26.5328125,0.08638305937420603,0.1427800379193468,0.2777532961892586,0.27937912442461527,0.0028379394065236813,-0.0016258282353566744
control,0.6,4,control_p0.6_r04,2048568984,3720452613,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_04.npz,results/phase4_core/states/control/p0.6/rep_04.rng.json,bef837e1b72e6dbfca2e63d9874f046cc215585247629c3ca1f91ae0238c44f6,1a0588ede7678edddbb9199a33cb21a682057f09caa4ee65aff96418d6f124f9,27.4984375,0.07818095096879835,0.12276738800924002,0.28309347840909327,0.28065842326674334,0.002838020430694153,0.002435055142349929
control,0.6,5,control_p0.6_r05,2123566627,2611502002,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_05.npz,results/phase4_core/states/control/p0.6/rep_05.rng.json,9da997144af24a6a49d25df985359d346cf755d89ef7d266fd2e9c38499e9a03,3e5673be4b7fc28c210c8501e5b8f0bc4005414e449676834d469ac523be8bbf,27.06328125,0.08223668561783151,0.12816721290061792,0.28403297116921233,0.2805824989899808,0.0026784978586346735,0.0034504721792315562
control,0.6,6,control_p0.6_r06,2882565626,3812007976,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_06.npz,results/phase4_core/states/control/p0.6/rep_06.rng.json,3e335fbc914373996550161de22decb1224e03d210e919c86ae180ffc9a9ee0b,2e4db1ea05a8b05f1d83880cd98b611381da5245fb782a91af84525042e4e5a8,26.246875,0.08419719955483423,0.1343949277516957,0.2751806767322916,0.2794142680092505,0.0028120163757706395,-0.004233591276958937
control,0.6,7,control_p0.6_r07,2276641161,200426137,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_07.npz,results/phase4_core/states/control/p0.6/rep_07.rng.json,8711af1e91e578ba5645c49729ec731479c3e976e216783a73460f0b3821867b,ece9469c4fd1edaafabd463e2e04d1bf255498c02a9d213fbd2071c9dca5abb1,27.37734375,0.07965761656314449,0.12715470742647333,0.2762104960842343,0.2804403125748439,0.0028831611268532215,-0.004229816490609606
control,0.6,8,control_p0.6_r08,562926893,3200404688,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_08.npz,results/phase4_core/states/control/p0.6/rep_08.rng.json,fccfb3f5947dfd3d2e78cb3ea97f5a4960252d6e5d47222f29c24b0a77eb20ae,f99dd5bf0157e20b3395f98caa542847573eb277d8f4aea80417412a57dfca06,27.078125,0.08617523940379104,0.13688163929009067,0.28304212674842777,0.2796665239956968,0.0026920638787845935,0.003375602752730966
control,0.6,9,control_p0.6_r09,3080644917,1529053324,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_09.npz,results/phase4_core/states/control/p0.6/rep_09.rng.json,e31aa730638509e4df9a4a9de1f8d55d21e0482c88087727dd6c7bfbe5bdfbe8,4f89ed8a3c4704a10274aadee2fe9aa72d4cbf2323108b3123b743f9798f24a4,26.775,0.07909877595364972,0.12629152232020535,0.28172599956589894,0.27997109476857607,0.0028537089786524403,0.001754904797322876
control,0.6,10,control_p0.6_r10,789376535,1936023507,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_10.npz,results/phase4_core/states/control/p0.6/rep_10.rng.json,1f31905ae234768adda30de4ee879a81435ac388163be5496d384bbb3f04d2d8,fc00e8bf295e657e06d221bc5604c61833b2ffcad4a7bd42709b9e6e1751cec7,26.978125,0.0863073057811993,0.14147513275320178,0.27806917165216,0.27947693258669837,0.0026877095553796988,-0.0014077609345383713
control,0.6,11,control_p0.6_r11,691079081,3559286830,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_11.npz,results/phase4_core/states/control/p0.6/rep_11.rng.json,ec0827161b0d492a5d9794183dfda58da59bffdfc955e6490286d2867ef7cf8f,104d327ad884a5aa3ee813ec9e13caa88c4932d7713aa90d5e023d12e279eeac,26.6171875,0.08890224868564006,0.14648886047463833,0.27805541360486263,0.27890951188598817,0.0031270214616247257,-0.0008540982811255371
control,0.6,12,control_p0.6_r12,2307152739,3024292233,2026073104,0,200,results/phase4_core/states/control/p0.6/rep_12.npz,results/phase4_core/states/control/p0.6/rep_12.rng.json,0ad736be22fe6ea1489280fa57212862ed73ac968b11ef5131f89e11c6c1b6bf,7420a1606cc7d79a393081adf99943b9ebdd4bb97096df8ca7332604e0178f73,26.54609375,0.08398410637675849,0.14387486655099185,0.2792038825442683,0.27866560235670407,0.002462614416656149,0.000538280187564244
