inherit_prob,bootstrap_index,condition,reach_fraction,median_semantic_information_among_reached,median_censored_lower_bound,mean_value_of_information,n_reached,n_censored
0.1,115,selective,1.0,0.503905155406701,,5.712316080729166,20,0
0.1,116,control,1.0,0.0,,0.0,20,0
0.1,116,selective,1.0,0.5049304591433059,,5.703929578993058,20,0
0.1,117,control,1.0,0.0,,0.0,20,0
0.1,117,selective,1.0,0.5047695173214952,,5.720363498263888,20,0
0.1,118,control,1.0,0.0,,0.0,20,0
0.1,118,selective,1.0,0.5053626401007031,,5.710123155381946,20,0
0.1,119,control,1.0,0.0,,0.0,20,0
0.1,119,selective,1.0,0.5043373363640982,,5.732362196180558,20,0
0.1,120,control,1.0,0.0,,0.0,20,0
0.1,120,selective,1.0,0.5023178776119777,,5.707516818576392,20,0
0.1,121,control,1.0,0.0,,0.0,20,0
0.1,121,selective,1.0,0.5027282472047356,,5.722165798611114,20,0
0.1,122,control,1.0,0.0,,0.0,20,0
0.1,122,selective,1.0,0.5036152853168294,,5.7331076388888915,20,0
0.1,123,control,1.0,0.0,,0.0,20,0
0.1,123,selective,1.0,0.5043373363640982,,5.721651475694445,20,0
0.1,124,control,1.0,0.0,,0.0,20,0
0.1,124,selective,1.0,0.5083485204079075,,5.733942057291667,20,0
0.1,125,control,1.0,0.0,,0.0,20,0
0.1,125,selective,1.0,0.5015382413926501,,5.6922151692708365,20,0
0.1,126,control,1.0,0.0,,0.0,20,0
0.1,126,selective,1.0,0.5036370966814686,,5.721981879340282,20,0
0.1,127,control,1.0,0.0,,0.0,20,0
0.1,127,selective,1.0,0.5036152853168294,,5.716810980902777,20,0
0.1,128,control,1.0,0.0,,0.0,20,0
0.1,128,selective,1.0,0.5058811779131471,,5.743966471354169,20,0
0.1,129,control,1.0,0.0,,0.0,20,0
0.1,129,selective,1.0,0.5052880551339392,,5.729329969618059,20,0
0.1,130,control,1.0,0.0,,0.0,20,0
0.1,130,selective,1.0,0.5029150456342,,5.73635687934028,20,0
0.1,131,control,1.0,0.0,,0.0,20,0
0.1,131,selective,1.0,0.5047695173214952,,5.749380967881945,20,0
0.1,132,control,1.0,0.0,,0.0,20,0
0.1,132,selective,1.0,0.5030181172946071,,5.721595594618058,20,0
0.1,133,control,1.0,0.0,,0.0,20,0
0.1,133,selective,1.0,0.502504676041442,,5.737486436631945,20,0
0.1,134,control,1.0,0.0,,0.0,20,0
0.1,134,selective,1.0,0.5040474662742266,,5.721166449652779,20,0
0.1,135,control,1.0,0.0,,0.0,20,0
0.1,135,selective,1.0,0.5052880551339392,,5.760094943576388,20,0
0.1,136,control,1.0,0.0,,0.0,20,0
0.1,136,selective,1.0,0.5036152853168294,,5.72156684027778,20,0
0.1,137,control,1.0,0.0,,0.0,20,0
0.1,137,selective,1.0,0.5052880551339392,,5.734217122395835,20,0
0.1,138,control,1.0,0.0,,0.0,20,0
0.1,138,selective,1.0,0.5043373363640982,,5.7054372829861135,20,0
0.1,139,control,1.0,0.0,,0.0,20,0
0.1,139,selective,1.0,0.505955762879911,,5.707029622395836,20,0
0.1,140,control,1.0,0.0,,0.0,20,0
0.1,140,selective,1.0,0.503905155406701,,5.689659830729167,20,0
0.1,141,control,1.0,0.0,,0.0,20,0
0.1,141,selective,1.0,0.5040474662742266,,5.733746202256948,20,0
0.1,142,control,1.0,0.0,,0.0,20,0
0.1,142,selective,1.0,0.5036152853168294,,5.726289062500004,20,0
0.1,143,control,1.0,0.0,,0.0,20,0
0.1,143,selective,1.0,0.5058811779131471,,5.7382714843750025,20,0
0.1,144,control,1.0,0.0,,0.0,20,0
0.1,144,selective,1.0,0.5027306039682107,,5.709851345486112,20,0
0.1,145,control,1.0,0.0,,0.0,20,0
0.1,145,selective,1.0,0.5036152853168294,,5.712835828993056,20,0
0.1,146,control,1.0,0.0,,0.0,20,0
0.1,146,selective,1.0,0.5027282472047356,,5.718469509548612,20,0
0.1,147,control,1.0,0.0,,0.0,20,0
0.1,147,selective,1.0,0.503905155406701,,5.7027452256944455,20,0
0.1,148,control,1.0,0.0,,0.0,20,0
0.1,148,selective,1.0,0.5043373363640982,,5.718467339409725,20,0
0.1,149,control,1.0,0.0,,0.0,20,0
0.1,149,selective,1.0,0.5045660040866706,,5.697078993055558,20,0
0.1,150,control,1.0,0.0,,0.0,20,0
0.1,150,selective,1.0,0.5015560525297204,,5.689016927083337,20,0
0.1,151,control,1.0,0.0,,0.0,20,0
0.1,151,selective,1.0,0.5048558741765421,,5.735892469618058,20,0
0.1,152,control,1.0,0.0,,0.0,20,0
0.1,152,selective,1.0,0.5027282472047356,,5.699016927083337,20,0
0.1,153,control,1.0,0.0,,0.0,20,0
0.1,153,selective,1.0,0.503905155406701,,5.708479817708335,20,0
0.1,154,control,1.0,0.0,,0.0,20,0
0.1,154,selective,1.0,0.5043373363640982,,5.726805555555553,20,0
0.1,155,control,1.0,0.0,,0.0,20,0
0.1,155,selective,1.0,0.5048558741765421,,5.718571506076392,20,0
0.1,156,control,1.0,0.0,,0.0,20,0
0.1,156,selective,1.0,0.503905155406701,,5.696170789930557,20,0
0.1,157,control,1.0,0.0,,0.0,20,0
0.1,157,selective,1.0,0.5023178776119777,,5.687752278645836,20,0
0.1,158,control,1.0,0.0,,0.0,20,0
0.1,158,selective,1.0,0.502504676041442,,5.730674370659727,20,0
0.1,159,control,1.0,0.0,,0.0,20,0
0.1,159,selective,1.0,0.5023178776119777,,5.7063655598958345,20,0
0.1,160,control,1.0,0.0,,0.0,20,0
0.1,160,selective,1.0,0.5029150456342,,5.717698025173615,20,0
0.1,161,control,1.0,0.0,,0.0,20,0
0.1,161,selective,1.0,0.503325415226958,,5.71128634982639,20,0
0.1,162,control,1.0,0.0,,0.0,20,0
0.1,162,selective,1.0,0.5023178776119777,,5.714898003472226,20,0
0.1,163,control,1.0,0.0,,0.0,20,0
0.1,163,selective,1.0,0.5058065929463832,,5.7192654079861125,20,0
0.1,164,control,1.0,0.0,,0.0,20,0
0.1,164,selective,1.0,0.5071521416439092,,5.722167426215281,20,0
0.1,165,control,1.0,0.0,,0.0,20,0
0.1,165,selective,1.0,0.502504676041442,,5.698846028645837,20,0
0.1,166,control,1.0,0.0,,0.0,20,0
0.1,166,selective,1.0,0.5040474662742266,,5.709388563368059,20,0
0.1,167,control,1.0,0.0,,0.0,20,0
0.1,167,selective,1.0,0.5015382413926501,,5.696203342013893,20,0
0.1,168,control,1.0,0.0,,0.0,20,0
0.1,168,selective,1.0,0.5032049157240714,,5.724755859375006,20,0
0.1,169,control,1.0,0.0,,0.0,20,0
0.1,169,selective,1.0,0.5023178776119777,,5.704985351562501,20,0
