condition_selective,viability_def_selective,inherit_prob,analysis_set_selective,methods_selective,syntactic_info_mean_selective,semantic_info_mean_selective,semantic_efficiency_mean_selective,value_of_information_mean_selective,actual_viability_mean_selective,frontier_max_viability_selective,frontier_reaches_target_selective,n_intervention_points_selective,condition_control,viability_def_control,analysis_set_control,methods_control,syntactic_info_mean_control,semantic_info_mean_control,semantic_efficiency_mean_control,value_of_information_mean_control,actual_viability_mean_control,frontier_max_viability_control,frontier_reaches_target_control,n_intervention_points_control,viability_def,syntactic_semantic_gap_selective,syntactic_semantic_gap_control,semantic_info_selective_minus_control,value_of_information_selective_minus_control
selective,mean_future_fitness,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2592610193900669,0.2084399158179017,0.8039770741790414,5.956212022569446,32.925320095486114,29.173307291666664,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0638641956312335,0.0,0.0,0.2254530164930592,27.12545301649305,27.384537760416663,True,504,mean_future_fitness,0.05082110357216521,0.0638641956312335,0.2084399158179017,5.730759006076386
selective,mean_future_fitness,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2595607257076285,0.2096361591184436,0.8076574703161358,5.899088541666661,32.88255208333333,29.178776041666666,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0657880155147971,0.0,0.0,0.2547498914930521,27.17001681857639,27.40540364583333,True,504,mean_future_fitness,0.0499245665891849,0.0657880155147971,0.2096361591184436,5.644338650173609
selective,mean_future_fitness,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2612805998996719,0.2097708995991325,0.8028567742101085,5.949348958333328,32.957682291666664,29.30208333333333,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0690457046661536,0.0,0.0,0.2216579861111114,27.12523871527777,27.41956380208333,True,504,mean_future_fitness,0.05150970030053939,0.0690457046661536,0.2097708995991325,5.7276909722222165
selective,mean_future_fitness,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26674548194394,0.2140762931560432,0.8025489001573197,5.980927191840276,32.91188422309028,29.16350911458333,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0763153700609886,0.0,0.0,0.2650933159722299,27.170952690972225,27.35712890625,True,504,mean_future_fitness,0.05266918878789678,0.0763153700609886,0.2140762931560432,5.7158338758680465
selective,mean_future_fitness,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2739257406687294,0.2205277003820734,0.8050638097891186,5.938140190972224,32.89670138888889,29.224511718750005,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0834064363059127,0.0,0.0,0.2349202473958378,27.14423014322917,27.380143229166663,True,504,mean_future_fitness,0.053398040286655984,0.0834064363059127,0.2205277003820734,5.703219943576386
selective,mean_future_fitness,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2837468743960047,0.2364257584615833,0.8332277103134578,6.039873589409719,33.01220431857639,29.27161458333333,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0979236327114226,0.0,0.0,0.2917561848958385,27.170434570312505,27.375162760416668,True,504,mean_future_fitness,0.0473211159344214,0.0979236327114226,0.2364257584615833,5.748117404513881
selective,mean_future_fitness,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3092982092544963,0.2564869576365425,0.8292545833186518,6.226538085937506,33.21898600260417,29.32923177083333,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.1285482552973781,0.0,0.0,0.3200792100694372,27.160964626736103,27.38024088541667,True,504,mean_future_fitness,0.0528112516179538,0.1285482552973781,0.2564869576365425,5.9064588758680685
selective,mean_future_fitness,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.380839802327306,0.2973984919318259,0.7809018125585311,6.983363172743061,33.90292697482639,29.85810546875,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2150141066855364,0.0,0.0,0.2030029296875,27.1158935546875,27.369889322916663,True,504,mean_future_fitness,0.08344131039548014,0.2150141066855364,0.2973984919318259,6.780360243055561
selective,mean_future_fitness,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.5224623594026633,0.4397590262114785,0.8417047052236637,12.00216471354167,38.38422851562501,31.460904947916664,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.4817044803925395,0.0,0.0,0.260291883680555,27.13320855034722,27.3755859375,True,504,mean_future_fitness,0.08270333319118478,0.4817044803925395,0.4397590262114785,11.741872829861116
selective,threshold_survival,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2611742792802546,0.210682749600936,0.8066749535273406,1.0,1.0,0.0833333333333333,False,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0634475658607537,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.05049152967931861,0.0634475658607537,0.210682749600936,1.0
selective,threshold_survival,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2614152067861219,0.2096404365869771,0.8019443060116067,1.0,1.0,0.0416666666666666,False,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0648008716784164,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.05177477019914481,0.0648008716784164,0.2096404365869771,1.0
selective,threshold_survival,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.262869574368166,0.2113147543475439,0.8038768079396813,1.0,1.0,0.0416666666666666,False,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0661681453703968,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.05155482002062209,0.0661681453703968,0.2113147543475439,1.0
selective,threshold_survival,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2650321966586457,0.2129954482077067,0.8036587663424121,1.0,1.0,0.0416666666666666,False,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0699216966733754,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.052036748450939,0.0699216966733754,0.2129954482077067,1.0
selective,threshold_survival,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2666331709804214,0.213976619234235,0.8025131248577734,1.0,1.0,0.0416666666666666,False,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0755188940115679,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.052656551746186386,0.0755188940115679,0.213976619234235,1.0
selective,threshold_survival,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2738149635445311,0.22027396518328,0.8044628472156395,1.0,1.0,0.0833333333333333,False,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0828860389613726,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.05354099836125112,0.0828860389613726,0.22027396518328,1.0
selective,threshold_survival,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2853744196006805,0.2300640669100788,0.8061832144310742,1.0,1.0,0.0416666666666666,False,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.097614537363973,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.055310352690601694,0.097614537363973,0.2300640669100788,1.0
selective,threshold_survival,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3096597631983976,0.2592764390263345,0.8372945724311531,1.0,1.0,0.125,False,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.1291215782074804,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.05038332417206309,0.1291215782074804,0.2592764390263345,1.0
selective,threshold_survival,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3826792502877074,0.3195376712389983,0.8350012993878353,1.0,1.0,0.3333333333333333,False,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2133052697475767,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.0631415790487091,0.2133052697475767,0.3195376712389983,1.0
selective,threshold_survival,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.5239042859675317,0.4117721442505623,0.7859682680207761,1.0,1.0,1.0,True,504,control,threshold_survival,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.4796228391326513,0.0,0.0,0.0,0.0,0.0,True,504,threshold_survival,0.11213214171696939,0.4796228391326513,0.4117721442505623,1.0
