inherit_prob,rep,delta_fitness,delta_mi
0.4,9,0.3101562500000057,-0.008905888579118726
0.4,10,0.27031249999999574,-0.005674873512924783
0.4,11,0.33906250000000426,0.014788373527801102
0.4,12,-0.24765624999999858,2.8367856353184173e-05
0.4,13,0.8523437499999957,0.006133671556534104
0.4,14,-0.3500000000000014,-0.006274233546494701
0.4,15,0.30937500000000284,0.014669323897428477
0.4,16,-1.9203125000000014,-0.000793591992659215
0.4,17,0.4140625,0.010120744364346068
0.4,18,0.8515625,0.010891889764030882
0.4,19,-0.25703124999999716,-0.004154699099300885
0.5,0,-0.828125,0.010433131033568133
0.5,1,-0.24296875000000284,0.0024043563357115105
0.5,2,0.83984375,0.011823922944138088
0.5,3,0.27421875000000284,0.014791124122547572
0.5,4,-0.7539062499999964,0.015858804910846347
0.5,5,0.9015624999999972,0.003595465467230885
0.5,6,0.5375000000000014,0.01311664934450979
0.5,7,-0.04218749999999716,-0.0034039717823001747
0.5,8,-0.4468750000000057,0.007752269865579919
0.5,9,0.16562500000000568,0.007179247760782603
0.5,10,-0.11562499999999432,0.0030504927793355563
0.5,11,0.23203124999999858,0.006269835860744699
0.5,12,0.03515625,0.011198973041360916
0.5,13,-0.7570312499999972,-0.004418917303195102
0.5,14,0.7789062499999986,0.016233719620048437
0.5,15,-0.1796875,-0.004977107007611337
0.5,16,0.006250000000001421,0.005423697612185974
0.5,17,-1.0132812499999986,0.01425069280056912
0.5,18,-0.25,0.011960985331535279
0.5,19,-0.3257812499999986,0.0061631747412183024
0.6,0,-0.09687500000000426,0.0064093848804839815
0.6,1,0.8601562500000028,0.02078480067347882
0.6,2,-0.3203125,0.006850997198764308
0.6,3,-0.06562500000000426,0.024037385655381494
0.6,4,-0.21718750000000142,0.007325675224577166
0.6,5,-0.15703124999999574,0.011444511402485535
0.6,6,0.23359375000000426,0.021022397012485983
0.6,7,0.4375,0.006552356329982079
0.6,8,-0.5179687499999943,0.004863523315072005
0.6,9,-1.2007812500000057,0.019507735503350165
0.6,10,-1.0554687499999957,0.012864018947712053
0.6,11,-0.2593749999999986,0.006146914832445061
0.6,12,-0.34375,0.007317086685275753
0.6,13,0.4609375,0.019324980138566816
0.6,14,-0.5453125000000014,0.03009846744105632
0.6,15,0.8640625000000028,0.023197694639707334
0.6,16,-0.8023437499999986,0.01974306818085353
0.6,17,-0.0546875,0.01209849418693082
0.6,18,1.2976562500000028,0.00876576371014981
0.6,19,0.5335937499999943,0.008942192482547129
0.7,0,0.6476562499999972,0.02002544392711947
0.7,1,0.21406249999999716,0.036063265198736094
0.7,2,0.48125000000000284,0.02226830838703603
0.7,3,-0.3226562500000014,0.01814457044368656
0.7,4,-0.23671875000000142,0.03321061048471824
0.7,5,-0.5984374999999957,0.03601918990490516
0.7,6,-0.33906250000000426,0.010756133939078927
0.7,7,-0.13359375000000284,0.022442784153668405
0.7,8,-0.10703125000000568,0.034897357669274764
0.7,9,0.5929687499999972,0.016109957428434907
0.7,10,-0.5484375000000057,0.03163852150306706
0.7,11,-0.8125,0.03092923626095956
0.7,12,-0.07890625000000284,0.02380020121554527
0.7,13,-0.5851562499999972,0.02453709900337292
0.7,14,-0.7210937500000014,0.039878508924464984
0.7,15,-1.3726562499999986,0.022291315090497088
0.7,16,0.17031250000000142,0.03665064458560546
0.7,17,1.1492187499999957,0.022062020364717716
0.7,18,0.09843750000000284,0.023201655362609874
0.7,19,0.56640625,0.023743973642400107
0.8,0,0.21796874999999716,0.049946785094315826
0.8,1,0.23828125,0.04718771754366935
0.8,2,1.01953125,0.05617621387910504
0.8,3,1.8812500000000014,0.03684120477750197
0.8,4,0.4195312499999986,0.054493930122570644
0.8,5,-0.23359375000000426,0.0462684097371695
0.8,6,0.4789062500000014,0.04976886524137736
0.8,7,1.8617187500000014,0.03676067852958559
0.8,8,-0.18437499999999574,0.0482094473368091
0.8,9,0.09375,0.06498271101546527
0.8,10,-0.19687499999999858,0.07096713870865445
0.8,11,-0.55078125,0.04772494578187614
0.8,12,0.52734375,0.04130145272655539
0.8,13,0.2914062500000014,0.052251103083810924
0.8,14,0.10859375000000426,0.06211671574099442
0.8,15,-0.08671874999999574,0.03793499657169902
0.8,16,0.7789062499999986,0.04570773370400277
0.8,17,0.66015625,0.0454657245570379
0.8,18,-0.05703125000000142,0.053941737085846375
0.8,19,-0.12421874999999716,0.03955394565575998
0.9,0,-0.03671874999999858,0.11742072001795767
0.9,1,1.3640625000000028,0.13255587307819344
0.9,2,0.7609374999999972,0.12122494834691594
0.9,3,1.7999999999999972,0.14442529390075198
0.9,4,1.5515625000000028,0.08958892344763869
0.9,5,1.6773437499999986,0.12372317954780288
0.9,6,0.0078125,0.11541796052675368
0.9,7,1.2000000000000028,0.10411534407499984
0.9,8,1.1968749999999986,0.0948492539389757
0.9,9,0.5703125,0.06836226344111918
0.9,10,2.9453125,0.15174550405645193
0.9,11,0.9937499999999986,0.12590335401943004
0.9,12,0.76953125,0.10942315629101962
0.9,13,1.9874999999999972,0.10436884888288894
0.9,14,0.05624999999999858,0.1354136226476116
0.9,15,1.8031250000000014,0.11605167354543033
0.9,16,0.5210937499999986,0.09991153280407478
0.9,17,0.8539062500000014,0.13698227846995348
0.9,18,0.5718750000000057,0.10895286189200154
