condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
control,mean_future_fitness,0.7,10,kmeans_profile,diagnostic_function_preserving,128,0.0,26.979557291666666,27.211328124999998,0.09451769256046932,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,1,0.0,27.157519531250003,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,2,0.0100822335819817,27.14069010416667,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,3,0.015979962150952532,27.17272135416667,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,4,0.0201644671639634,27.2599609375,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,6,0.026062195732934234,27.17041015625,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,8,0.030246700745945095,26.96959635416667,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,12,0.03614442931491593,27.146321614583332,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,16,0.0403289343279268,27.1697265625,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,24,0.04622666289689763,27.2150390625,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,32,0.050411167909908496,27.056445312500003,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,48,0.05630889647887932,27.271289062500003,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,64,0.06049340149189019,27.298307291666664,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,96,0.06639113006086103,27.242024739583332,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,balanced_random_group,primary,128,0.07057563507387189,27.270963541666664,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,1,0.0,27.076106770833338,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,2,0.0100822335819817,27.055729166666666,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,3,0.015979962150952532,27.080175781250002,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,4,0.0201644671639634,27.170149739583337,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,6,0.026062195732934234,27.25690104166667,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,8,0.030246700745945095,27.096419270833334,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,12,0.03614442931491593,27.110319010416664,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,16,0.0403289343279268,27.219498697916663,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,24,0.04622666289689763,27.2345703125,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,32,0.050411167909908496,27.24410807291667,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,48,0.05630889647887932,27.135579427083332,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,64,0.06049340149189019,27.118066406249998,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,96,0.06639113006086103,27.060644531249995,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,affinity_rank_group,primary,128,0.07057563507387189,27.190266927083332,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,prefix_group,primary,1,0.0201644671639634,27.146582031249995,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,prefix_group,primary,2,0.0201644671639634,27.131152343750003,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,prefix_group,primary,3,0.0201644671639634,27.171484375000002,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,prefix_group,primary,4,0.0201644671639634,27.14677734375,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,prefix_group,primary,6,0.0403289343279268,27.211523437499995,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,prefix_group,primary,8,0.0403289343279268,27.273372395833334,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
control,mean_future_fitness,0.7,11,prefix_group,primary,12,0.0403289343279268,27.165983072916664,27.227604166666666,0.10082233581981699,"{""status"": ""ok""}"
