control_family,seed_block,n_realizations,mean_value_of_information,mean_actual_viability,mean_constant_viability,n_target_reached,all_target_reached,semantic_information_if_all_reached,mean_semantic_lower_bound_among_censored,all_identity_information_recovered,all_identity_viability_recovered
alternative_a_cross_b,8,1,6.0849066840277715,34.064670138888886,27.979763454861114,1,True,0.2838508055699852,,True,True
alternative_a_cross_b,9,1,5.451909722222222,33.322200520833334,27.870290798611112,1,True,0.2618633610513325,,True,True
alternative_a_cross_b,10,1,9.29705946180556,37.14865451388889,27.851595052083333,1,True,0.279628845175686,,True,True
alternative_a_cross_b,11,1,7.310275607638889,35.24573567708334,27.93546006944445,1,True,0.2362962154135577,,True,True
alternative_a_cross_b,12,1,9.406803385416666,37.26878255208334,27.86197916666667,1,True,0.2824316229112798,,True,True
alternative_a_cross_b,13,1,8.839398871527784,36.697667100694446,27.85826822916666,1,True,0.2847859259973251,,True,True
alternative_a_cross_b,14,1,10.267035590277771,38.06049262152777,27.79345703125,1,True,0.2824988478295285,,True,True
alternative_a_cross_b,15,1,6.846582031250001,34.75912543402778,27.91254340277778,1,True,0.303914919376519,,True,True
alternative_a_cross_b,16,1,9.810601128472214,37.65670572916666,27.846104600694446,1,True,0.2409903574022731,,True,True
alternative_a_cross_b,17,1,9.697471788194441,37.55633680555555,27.85886501736111,1,True,0.2859025768874824,,True,True
alternative_a_cross_b,18,1,8.377810329861113,36.26605902777778,27.888248697916666,1,True,0.2937748909405884,,True,True
alternative_a_cross_b,19,1,7.188780381944447,35.13322482638889,27.944444444444443,1,True,0.3397371117572172,,True,True
alternative_a_native,0,1,12.151529947916664,40.391351996527774,28.23982204861111,1,True,0.3175565098173945,,True,True
alternative_a_native,1,1,10.932096354166667,39.11744791666667,28.185351562500003,1,True,0.2963364133949552,,True,True
alternative_a_native,2,1,11.228602430555558,39.52649739583333,28.297894965277774,1,True,0.2809169086626983,,True,True
alternative_a_native,3,1,10.631879340277784,38.85583767361112,28.223958333333336,1,True,0.2919995469331626,,True,True
alternative_a_native,4,1,10.379416232638896,38.62745225694445,28.248036024305556,1,True,0.254387713720922,,True,True
alternative_a_native,5,1,10.761892361111101,38.952484809027766,28.190592447916664,1,True,0.3006555038212782,,True,True
