source_file,inherit_prob,retained_information,point_viability,point_map_hash,point_method,point_endpoint_type,n_maps_at_coordinate,frontier_viability,frontier_source_map_hash,frontier_source_method,frontier_source_endpoint_type,condition,baseline_replicate,target_viability,target_reached
results/phase4_core/replicate_frontiers.csv,0.1,8.008566259537293e-17,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0002411894242235,27.07311197916667,3f53151fb2f814971fd6c0128c5c0b7afe1b5cb5257e46a1db18b8ebc9946d94,affinity_rank_group,intermediate,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0004039362738972,27.07311197916667,16cfd655e57fba08a658c1d50e1fe5976b2f905eee09ec260833cfb2b49d6f38,contiguous_substring,intermediate,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0004438629963868,27.07311197916667,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0006468432268678,27.07311197916667,6d8bb74bcdeefe62988bcebfe3cdb7110ea14648c3393721f4a4095032ddf61b,contiguous_substring,intermediate,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0006512445994125,27.07311197916667,fc015e86e4e7f2c734c05fb1135856a6186a7b6e6f3079acc6d6c6e4aa7442e4,contiguous_substring,intermediate,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0007000078413426,27.07311197916667,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
results/phase4_core/replicate_frontiers.csv,0.1,0.000769596786925,27.07311197916667,6fb076d21f3b26febc2e6a328628b3ea581ce0709de4263bbe675d61bdb74942,contiguous_substring,intermediate,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0008218977512327,27.07311197916667,92e56b0f11cdce879476507882d715f1eecc12de134fc3982530e28ffd4eba29,affinity_rank_group,intermediate,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0009661575271813,27.07311197916667,3ac98b3bd2edbbfc3b4339ca0066047ccba8e1cfa0ce798acbd27bab5b87d8af,contiguous_substring,intermediate,1,27.07311197916667,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r01,27.07311197916667,True
