source_file,condition,inherit_prob,replicate,baseline_replicate,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
results/phase4_core/baseline_information.csv,control,0.6,11,control_p0.6_r11,26.6171875,0.08890224868564,0.1464888604746383,0.2780554136048626,0.2789095118859881,0.0031270214616247,-0.0008540982811255
results/phase4_core/baseline_information.csv,control,0.6,12,control_p0.6_r12,26.54609375,0.0839841063767584,0.1438748665509918,0.2792038825442683,0.278665602356704,0.0024626144166561,0.0005382801875642
results/phase4_core/baseline_information.csv,control,0.6,13,control_p0.6_r13,27.115625,0.0817710383586624,0.1328073329026133,0.2792545217941642,0.2799279882609913,0.0029083258414637,-0.000673466466827
results/phase4_core/baseline_information.csv,control,0.6,14,control_p0.6_r14,26.79765625,0.0823566890034366,0.1375193851240148,0.2784163967330324,0.2791616163057684,0.0026046940858516,-0.000745219572736
results/phase4_core/baseline_information.csv,control,0.6,15,control_p0.6_r15,26.83984375,0.0797790575245722,0.1126142731591448,0.2849152127859949,0.2820088253775526,0.0025374864104707,0.0029063874084423
results/phase4_core/baseline_information.csv,control,0.6,16,control_p0.6_r16,26.315625,0.0820700136405176,0.1420544761062148,0.2761291906185135,0.279050723763259,0.0027678038308947,-0.0029215331447455
results/phase4_core/baseline_information.csv,control,0.6,17,control_p0.6_r17,26.759375,0.0750709941652292,0.1155068903857889,0.2823421261283991,0.2810529022312177,0.0027956139873971,0.0012892238971813
results/phase4_core/baseline_information.csv,control,0.6,18,control_p0.6_r18,26.92109375,0.0807019381674343,0.1394549175638321,0.2773044538476152,0.2795299099207453,0.002906963676167,-0.0022254560731301
results/phase4_core/baseline_information.csv,control,0.6,19,control_p0.6_r19,27.18359375,0.0837801222650345,0.1364779376213412,0.2823854609130015,0.2793929439058553,0.0028548421034391,0.0029925170071461
results/phase4_core/baseline_information.csv,control,0.7,0,control_p0.7_r00,27.13984375,0.0952766581779613,0.191096074344624,0.27382711460012,0.2746743616075123,0.0029100404071854,-0.0008472470073923
results/phase4_core/baseline_information.csv,control,0.7,1,control_p0.7_r01,26.98203125,0.0993072320674268,0.2077096214232407,0.2706371041650687,0.2735639028526002,0.0024425070052262,-0.0029267986875314
results/phase4_core/baseline_information.csv,control,0.7,2,control_p0.7_r02,27.0265625,0.1082256371887762,0.2425161599499815,0.2724670215111545,0.2701927255167923,0.0027853448944417,0.0022742959943621
results/phase4_core/baseline_information.csv,control,0.7,3,control_p0.7_r03,27.42265625,0.1032421920240306,0.2009883286648661,0.2722633267391677,0.2731963145892119,0.0028911966268014,-0.0009329878500441
results/phase4_core/baseline_information.csv,control,0.7,4,control_p0.7_r04,27.15234375,0.1056222560902813,0.2274597026273512,0.2696506801725637,0.2720915314199633,0.0027366856060503,-0.0024408512473996
results/phase4_core/baseline_information.csv,control,0.7,5,control_p0.7_r05,27.39921875,0.1075465295421821,0.2254255627174585,0.2752113663276463,0.2716099533535838,0.0026955262631475,0.0036014129740624
results/phase4_core/baseline_information.csv,control,0.7,6,control_p0.7_r06,27.5203125,0.1004842173372882,0.2005120320015108,0.2757707829049062,0.2742070609841546,0.00283705943464,0.0015637219207515
results/phase4_core/baseline_information.csv,control,0.7,7,control_p0.7_r07,26.746875,0.0994479178197325,0.1992079588434508,0.2752084774984213,0.2737849669808214,0.0029154467323125,0.0014235105175999
results/phase4_core/baseline_information.csv,control,0.7,8,control_p0.7_r08,26.56875,0.1080906281193546,0.2270481044579391,0.2699239020594678,0.2719916504625714,0.0029226678609804,-0.0020677484031036
results/phase4_core/baseline_information.csv,control,0.7,9,control_p0.7_r09,27.4296875,0.0939526819164107,0.1803088150109499,0.27468319451038,0.274570679189709,0.0025250141405691,0.0001125153206709
results/phase4_core/baseline_information.csv,control,0.7,10,control_p0.7_r10,27.54296875,0.1021206890512073,0.1958093634797535,0.2763185810383416,0.2751126690387623,0.0027885536465793,0.0012059119995793
results/phase4_core/baseline_information.csv,control,0.7,11,control_p0.7_r11,26.89609375,0.1041361530401831,0.2076105987700027,0.2713630633036835,0.274654340315826,0.002508064048921,-0.0032912770121424
results/phase4_core/baseline_information.csv,control,0.7,12,control_p0.7_r12,26.73984375,0.096431609890221,0.1916197648853183,0.2732820623892285,0.2752241221012678,0.0023812362234499,-0.0019420597120393
results/phase4_core/baseline_information.csv,control,0.7,13,control_p0.7_r13,26.9546875,0.0961234944377708,0.1818186644163633,0.2767033428036364,0.2755695402789029,0.0028297207460421,0.0011338025247335
results/phase4_core/baseline_information.csv,control,0.7,14,control_p0.7_r14,26.90390625,0.0966397769403947,0.1976013524319414,0.273097531627671,0.2741473443153546,0.0027476431074314,-0.0010498126876835
results/phase4_core/baseline_information.csv,control,0.7,15,control_p0.7_r15,27.10703125,0.0947618656361942,0.1805682829473316,0.27929977085331,0.2751264052161774,0.0027608977761191,0.0041733656371326
results/phase4_core/baseline_information.csv,control,0.7,16,control_p0.7_r16,27.084375,0.099666880465623,0.1915226321398448,0.2780684240971353,0.2742596367777286,0.0025961179900711,0.0038087873194067
results/phase4_core/baseline_information.csv,control,0.7,17,control_p0.7_r17,27.7109375,0.101279371516489,0.2046109509073928,0.2761728927552667,0.273978085548843,0.0027671311237387,0.0021948072064236
results/phase4_core/baseline_information.csv,control,0.7,18,control_p0.7_r18,27.24453125,0.0927367363900271,0.176586823736891,0.2752621215992261,0.2754475051808637,0.002730105751358,-0.0001853835816376
results/phase4_core/baseline_information.csv,control,0.7,19,control_p0.7_r19,27.16640625,0.0906134357193048,0.1678858171233176,0.2693063183737701,0.2753314033538779,0.0024634884198475,-0.0060250849801078
results/phase4_core/baseline_information.csv,control,0.8,0,control_p0.8_r00,26.79453125,0.1310328581586263,0.3317228803456047,0.2597795856069638,0.2609013328229415,0.0028472810701173,-0.0011217472159777
results/phase4_core/baseline_information.csv,control,0.8,1,control_p0.8_r01,26.734375,0.1236582689981315,0.2996304923556785,0.2607037167155037,0.2633870239488601,0.0025186230010345,-0.0026833072333564
results/phase4_core/baseline_information.csv,control,0.8,2,control_p0.8_r02,27.1375,0.1313483938619806,0.3050530919334021,0.2645095169117201,0.2647965814308416,0.0024231872286723,-0.0002870645191215
results/phase4_core/baseline_information.csv,control,0.8,3,control_p0.8_r03,27.525,0.1209503636322808,0.2801944864779268,0.2648504702215161,0.2659533769057349,0.0028332549685569,-0.0011029066842188
