setting_index,stage,family,design_id,spec_json,regime
21,A,,A_p4_a0,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.925, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}",R0_null
22,A,,A_p4_a1,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.925, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}",R2_viability_relevant
23,A,,A_p4_a2,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.925, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}",R2_viability_relevant
24,A,,A_p4_a3,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.925, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}",R2_viability_relevant
25,A,,A_p5_a0,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}",R0_null
26,A,,A_p5_a1,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}",R3_strong_adaptation
27,A,,A_p5_a2,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}",R3_strong_adaptation
28,A,,A_p5_a3,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}",R3_strong_adaptation
29,A,,A_high_2,"{""b_ratio"": 2.5, ""bias"": 3.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.49988902632934684, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.6583592655299071, ""sigma_ratio"": 0.5486327212749226, ""stride"": 1, ""temperature"": 1.2}",R2_viability_relevant
30,A,,A_high_3,"{""b_ratio"": 2.5, ""bias"": 3.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.6604785743322008, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.10387895384437114, ""sigma_ratio"": 0.08656579487030928, ""stride"": 1, ""temperature"": 1.2}",R0_null
